time	V(out)
0.000000000000000e+00	1.440000e-05
7.999999968033578e-11	1.440000e-05
1.599999993606716e-10	1.440000e-05
2.320500086643258e-10	1.440000e-05
2.997379255877880e-10	1.440000e-05
1.000000000000000e-09	1.440008e-05
1.465630033092650e-07	1.795651e-05
2.921260066185300e-07	2.848532e-05
4.376890099277949e-07	4.598650e-05
5.832520132370598e-07	7.046005e-05
7.288150165463248e-07	1.019060e-04
8.743780198555898e-07	1.403243e-04
1.019941023164854e-06	1.857149e-04
2.038897594373093e-06	6.962544e-04
4.076810736789570e-06	2.717326e-03
8.152637021622524e-06	9.842069e-03
1.303544952162252e-05	2.313228e-02
1.791826202162253e-05	4.185439e-02
1.928722458996216e-05	4.763672e-02
2.065618715830180e-05	5.392730e-02
2.202514972664144e-05	6.072612e-02
2.339411229498108e-05	6.803318e-02
2.476307486332072e-05	7.584849e-02
2.613203743166036e-05	8.417203e-02
2.750100000000000e-05	9.300381e-02
2.750130000000000e-05	9.300577e-02
2.750159999999999e-05	9.300772e-02
2.750200000000000e-05	9.301033e-02
3.662151285714674e-05	1.496250e-01
4.574102571429348e-05	2.024790e-01
5.486053857144023e-05	2.515725e-01
6.398005142858697e-05	2.969054e-01
7.309956428573371e-05	3.384778e-01
8.221907714288046e-05	3.762895e-01
9.133859000002717e-05	4.103407e-01
1.000000000000000e-04	4.403081e-01
1.000001000000000e-04	4.403084e-01
1.000003000000000e-04	4.403090e-01
1.000006000000000e-04	4.403100e-01
1.000010000000000e-04	4.403113e-01
1.039295714285714e-04	4.555753e-01
1.078581428571429e-04	4.738627e-01
1.117867142857143e-04	4.951735e-01
1.157152857142857e-04	5.195078e-01
1.196438571428572e-04	5.468654e-01
1.235724285714286e-04	5.772465e-01
1.275010000000000e-04	6.106511e-01
1.275013000000000e-04	6.106538e-01
1.275016000000000e-04	6.106564e-01
1.275020000000000e-04	6.106600e-01
1.378588571428572e-04	6.967803e-01
1.482157142857143e-04	7.756395e-01
1.585725714285715e-04	8.472376e-01
